name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Rensselaer Polytechnic Institute,New York,Troy,Private,0,0,none,Doctoral University,,1824,,Jenalyn,,"6,977",,
Kenyon College,Ohio,Gambier,Private,0,0,none,Baccalaureate College,,1824,,Jenalyn,,,,
Thomas Jefferson University,Pennsylvania,Philadelphia,Private,0,0,none,Baccalaureate College,,1824,,Jenalyn,,"3,555",,
Cazenovia College,New York,Cazenovia,Private,0,1,Methodist,Baccalaureate College,,1824,,Jenalyn,,"1,225",,
Medical University of South Carolina,South Carolina,Charleston,Public,0,0,none,Specialized Focus,Medical,1824,,,,2944,,SACS
Centenary College of Louisiana* - Shreveport,Louisiana,,Private,0,1,Methodist,Baccalaureate College,,1825,,Jenalyn,,,,
Lancaster Theological Seminary,Pennsylvania,Lancaster(Lancaster County),Private,1,1,United Church of Christ,Seminary,,1825,,AJB,,145,,
Case Western Reserve University,Ohio,Cleveland,Private,0,1,Christian,Doctoral University,,1826,,Jenalyn,,,,
Furman University,South Carolina,Greenville,Private,0,1,Baptist,Baccalaureate College,,1826,,Jenalyn,,2947,,SACS
Mississippi College - Clinton,Mississippi,,Private,0,1,Christian,Baccalaureate College,,1826,,Jenalyn,,,,
SUNY at Fredonia,New York,Fredonia,Public,0,0,none,Baccalaureate College,,1826,,,,"5,521",,
Lutheran Theological Seminary at Gettysburg,Pennsylvania,Gettysburg(Adams County),Private,1,1,Evangelical Lutheran Church in America,Seminary,,1826,2017,AJB,,168,,
Lafayette College,Pennsylvania,Easton (Northampton County),Private,0,1,Presbyterian Church (USA),Baccalaureate College,,1826,,Jenalyn,,"2,414",,
Elizabeth College,Virginia,Salem,Public,0,0,Catholic,Baccalaureate College,,1826,1922,,,,,
Maryland Institute College of Art,Maryland,Baltimore,Private,0,0,none,Specialized Focus,Art,1826,,Jenalyn,,"3,500",,
Vermont Medical College,Vermont,Woodstock,Private,0,0,none,Specialized Focus,Medical,1827,1856,Jenalyn,,,,
Hanover College,Indiana,Hanover,Private,0,1,Presbyterian,Baccalaureate College,,1827,,Jenalyn,,"1,123",,"HLC, TCATE"
