name,state,location,control,for_profit,religious_controlled,religious_orentation,degree_type,focus,founded_in,closed_merged_in,done,closed_reason,enrollment,historically_black,accreditation
Annhurst College,Connecticut,South Woodstock,Private,0,1,Catholic,Baccalaureate College,,1941,1980,Jenalyn,,,,
Emmaus Bible College,Iowa,Dubuque,Private,0,1,Brethen,Seminary,,1941,,Jenalyn,,249,,"ABHE, HLC"
Oblate College & Seminary,Maine,Bar Harbor,Private,0,1,Catholic,Seminary,,1941,1969,Jenalyn,,,,
Cornerstone University,Michigan,Grand Rapids,Private,0,0,none,Baccalaureate College,,1941,,Jenalyn,,"2,447",,"HLC, ATS, NASM"
Northwestern Health Sciences University,Minnesota,Bloomington,Private,0,1,Chirstian,Specialized Focus,Medical,1941,,Jenalyn,,852,,"HLC, CMTA, CCE"
Victory University,Tennessee,Memphis,Private,0,1,Christian,Baccalaureate College,,1941,2014,Jenalyn,,,,
Lake Region State College,North Dakota,Devils Lake,Public,0,0,none,Associates College,,1941,,AJB,,"1,913",,Higher Learning Commission (HLC)
Utah Valley University,Utah,Orem,Public,0,0,none,Masters University,,1941,,AJB,,,,
Hawai‘i Community College,Hawaii,Hilo,Public,0,0,none,Associates College,,1941,,AJB,,"2,615",,
Indiana University Southeast,Indiana,New Albany,Public,0,0,none,Masters University,,1941,,AJB,,"6,904",,"HLC, CCNE, TCATE"
Maine Maritime Academy,Maine,Castine,Public,0,0,none,Baccalaureate College,,1941,,AJB,,"1,037",,
Fairleigh Dickinson University,New Jersey,"Madison, Florham Park, Teaneck, and Hackensack",Private,0,0,none,Baccalaureate College,,1942,,Jenalyn,,"12,000",,MSCHE
Felician University,New Jersey,Lodi and Rutherford,Private,0,1,Felician Franciscan,Baccalaureate College,,1942,,Jenalyn,,"2,040",,MSCHE
Faulkner University,Alabama,Montgomery,Private,0,1,Christian,Baccalaureate College,,1942,,Jenalyn,,"3,036",,SACS
Fairfield University,Connecticut,Fairfield,Private,0,1,Catholic,Baccalaureate College,,1942,,Jenalyn,,"5,137",,
Beth Medrash Govoha,New Jersey,Lakewood,Private,0,1,Orthodox Jewish,Seminary,,1943,,Jenalyn,,,,AARTS
Baptist College of Florida,Florida,Graceville,Private,0,1,Baptist,Specialized Focus,Theology,1943,,Jenalyn,,467,,
United States Merchant Marine Academy,New York,Kings Point,Private,0,0,none,Baccalaureate College,,1943,,Jenalyn,,985,,
Grace University,Nebraska,Omaha,Private,0,1,Christian,Seminary,,1943,2018,Jenalyn,,,,
Yeshivath Zichron Moshe,New York,South Fallsburgh,Private,0,0,Orthodox Jewish,Baccalaureate College,,1944,,Jenalyn,,250,,
Trinity Lutheran College,Washington,Seattle,Private,0,1,Lutheran,Seminary,,1944,x,Jenalyn,,166,,
Lincoln Christian University,Illinois,Lincoln,Private,0,1,"Christian churches and churches of Christ",Seminary,,1944,,Jenalyn,,308,,
Patten University,California,Oakland,Private,1,0,Nondenominational Christian,Baccalaureate College,,1944,,Jenalyn,,,,
Fresno Pacific University,California,Fresno,Private,0,0,none,Baccalaureate College,,1944,,Jenalyn,,,,
Longview College,Connecticut,Enoneield,Private,0,1,Catholic,Seminary,,1944,1972,AJB,,,,
Fashion Institute of Technology,New York,New York,Public,0,0,none,Specialized Focus,Art,1944,,AJB,,"12,044",,
Casper College,Wyoming,Casper,Public,0,0,none,Associates College,,1944,,AJB,,"4,192",,
Brooks Institute,California,Ventura,Private,1,0,Episcopal Church ,Baccalaureate College,,1945,2016,Jenalyn,,,,
Bais Medrash Elyon,New York,Monsey,Private,0,1,	Orthodox Judaism,Baccalaureate College,,1945,,Jenalyn,,138,,
Carolina Christian College,North Carolina,Winston-Salem,Private,0,1,Churches of Christ,Baccalaureate College,,1945,,Jenalyn,,70,,
Helene Fuld College of Nursing,New York,New York,Private,0,0,none,Specialized Focus,Medical,1945,,Jenalyn,,725,,
Carolina University,North Carolina,Winston-Salem,Private,0,1,Christian,Baccalaureate College,,1945,,Jenalyn,,669,,
William Tyndale College,Michigan,Farmington Hills,Private,0,0,	Nondenominational Christianity,Baccalaureate College,,1945,2004,Jenalyn,,,,
Nebraska Christian College,Nebraska,Papillion,Private,0,1,"Christian churches and churches of Christ",Seminary,,1945,2020,Jenalyn,,,,
Boise Bible College,Idaho,Boise,Private,0,0,Nondenominational Christian,Seminary,,1945,,Jenalyn,,175,,
Roosevelt University,Illinois,Chicago Schaumburg,Private,0,0,none,Baccalaureate College,,1945,,Jenalyn,,,,
University of Arkansas – Pulaski Technical College,Arkansas,North Little Rock,Public,0,0,none,Associates College,,1945,,AJB,,"10,527",,
Indiana University Kokomo,Indiana,Kokomo,Public,0,0,none,Baccalaureate College,,1945,,AJB,,"3,719",,"HLC, CCNE, JRCERT, TCATE, NLNAC"
Great Bay Community College,New Hampshire,Portsmouth,Public,0,0,none,Associates College,,1945,,AJB,,"2,273",,
Manchester Community College,New Hampshire,Manchester,Public,0,0,none,Associates College,,1945,,AJB,,"2,968",,
Florida College,Florida,Temple Terrace,Private,0,0,none,Baccalaureate College,,1946,,Jenalyn,,505,,
The Art Institute of Seattle,Washington,Seattle,Private,1,0,none,Specialized Focus,Art,1946,2018,Jenalyn,,"2,245",,
Culinary Institute of America,New York,Hyde Park,Private,0,0,none,Specialized Focus,Culinary,1946,,Jenalyn,,"4,243",,
Southwestern Christian University,Oklahoma,Bethany,Private,0,1,Christian,Baccalaureate College,,1946,,Jenalyn,,598,,
Hussian School of Art,Pennsylvania,Philadelphia,Private,0,0,none,Specialized Focus,Art,1946,,Jenalyn,,150,,
Lincoln College of Technology[44],Texas,,Private,1,0,none,Baccalaureate College,,1946,,Jenalyn,,,,
LeTourneau University,Texas,,Private,0,1,Christian,Baccalaureate College,,1946,,Jenalyn,,,,
Franciscan University of Steubenville,Ohio,Steubenville,Private,0,1,Catholic,Baccalaureate College,,1946,,Jenalyn,,,,
Marlboro College,Vermont,Marlboro,Private,0,0,none,Baccalaureate College,,1946,2020,Jenalyn,,,,
Le Moyne College,New York,Syracuse,Private,0,1,Catholic,Baccalaureate College,,1946,,Jenalyn,,"4,078",,
Paul Smiths College of Arts and Science,New York,Paul Smiths,Private,0,1,Catholic,Specialized Focus, Arts and Science,1946,,Jenalyn,,945,,
Utica College,New York,Utica,Private,0,0,none,Baccalaureate College,,1946,,Jenalyn,,"5,176",,
King's College,Pennsylvania,Wilkes-Barre (Luzerne County),Private,0,1,Catholic,Baccalaureate College,,1946,,Jenalyn,,"2,725",,
Binghamton University,New York,Vestal,Public,0,0,none,Doctoral University,,1946,,AJB,,"18,129",,
SUNY at Binghamton,New York,Vestal,Public,0,0,none,Doctoral University,,1946,,AJB,,"18,110",,
University of North Carolina at Charlotte,North Carolina,Charlotte,Public,0,0,none,Doctoral University,,1946,,AJB,,"27,238",,
Portland State University[20],Oregon,Portland,Public,0,0,none,Doctoral University,,1946,,AJB,,"23,444",,
CUNY New York City College of Technology,New York,Brooklyn,Public,0,0,none,Associates College,,1946,,AJB,,"20,986",,
College of Technology,New York,Brooklyn,Public,0,0,none,Baccalaureate College,,1946,,AJB,,"13,502",,
Eastern Christian College,Maryland,"Bel Air, Maryland",Private,0,1,American Baptist Churches,Baccalaureate College,,1946,2005,Jenalyn,,,,
Claremont McKenna College,California,Claremont,Private,0,0,none,Baccalaureate College,,1946,,Jenalyn,,,,
Lincoln Tech,Indiana,Indianapolis,Private,0,0,none,Baccalaureate College,,1946,,Jenalyn,,"1,328",,ACICS
Brown College,Minnesota,"Mendota Heights, Brooklyn Center",Private,0,1,Catholic,Baccalaureate College,,1946,2015,Jenalyn,,,,
Oak Hills Christian College,Minnesota,Bemidji,Private,0,1,Christian,Seminary,,1946,,Jenalyn,,138,,ABHE
New England College,New Hampshire,Henniker,Private,0,0,Christian,Baccalaureate College,,1946,,Jenalyn,,"2,517",,
Paier College of Art,Connecticut,Hamden,Private,1,0,none,Specialized Focus,Art,1946,,Jenalyn,,103,,
Oklahoma State University Institute of Technology,Oklahoma,Okmulgee,Public,0,0,none,Baccalaureate College,,1946,,AJB,,"2,403",,
Olympic College,Washington,Bremerton,Public,0,0,none,Baccalaureate College,,1946,,AJB,,"7,349",,
Lincoln Tech,Illinois,Melrose Park,Private,0,0,none,Specialized Focus,Automotive,1946,,Jenalyn,,818,,
Northwest College,Wyoming,Powell,Public,0,0,Assemblies of God ,Associates College,,1946,,AJB,,"1,747",,
Air University,Alabama,Montgomery,Public,0,0,Pre-Christian,Masters University,,1946,,AJB,,,,SACS
Kapiolani Community College,Hawaii,Honolulu,Public,0,0,none,Associates College,,1946,,AJB,,"7,816",,
Purdue University Northwest,Indiana,Hammond / Westville,Public,0,0,none,New Campus,,1946,,AJB,,"10,054",,"HLC, TCATE, NLNAC"
Southern Maine Community College,Maine,South Portland,Public,0,0,none,Associates College,,1946,,AJB,,"8,648",,
Lake Michigan College,Michigan,Benton Harbor,Public,0,0,Catholic,Associates College,,1946,,AJB,,"4,059",,"HLC, ADA, AOTA, JRCERT, NLNAC"
Lake Superior State University,Michigan,Sault Ste. Marie,Public,0,0,Christian,Baccalaureate College,,1946,,AJB,,"2,099",,"HLC, NLNAC"
South Central College,Minnesota,"North Mankato, Faribault",Public,0,0,none,Associates College,,1946,,AJB,,"4,268",,"HLC, ADA"
Lincoln Technical Institute,New Jersey,"Edison, Mahwah, Moorestown, Paramus, South Plainoneield, Union, New Britain, Shelton, Columbia, Brockton, Lowell, Somerville, New York City, Allentown, Philadelphia (3 locations), and Lincoln",Private,0,0,none,Baccalaureate College,,1947,,Jenalyn,,"3,995",,ACICS
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,New York,Brooklyn,Private,0,0,none,Baccalaureate College,,1947,,Jenalyn,,39,,
Rabbinical College Bobover Yeshiva Bnei Zion,New York,Brooklyn,Private,0,1,Jewish,Seminary,,1947,,Jenalyn,,323,,
School of Visual Arts,New York,New York,Private,1,0,none,Specialized Focus,Art,1947,,Jenalyn,,"4,723",,
Ohio Christian University,Ohio,Circleville,Private,0,1,Christian,Baccalaureate College,,1947,,Jenalyn,,,,
Manor College,Pennsylvania,Abington Township (Montgomery County),Private,0,1,Catholic,Baccalaureate College,,1947,,Jenalyn,,619,,
University of St. Thomas,Texas,,Private,0,1,Roman Catholic,Baccalaureate College,,1947,,Jenalyn,,,,
Daemen College,New York,Amherst,Private,0,0,none,Baccalaureate College,,1947,,Jenalyn,,"3,177",,
Columbia Christian College,Oregon,Portland,Private,0,1,Christian,Baccalaureate College,,1947,1993,Jenalyn,,,,
Stevenson University,Maryland,Stevenson,Private,0,0,none,Baccalaureate College,,1947,,Jenalyn,,"3,876",,
Fuller Theological Seminary,Arizona,Pasadena,Private,0,1,Evangelical ,Seminary,,1947,,Jenalyn,,"2,672",,
American Jewish University,California,Los Angeles,Private,0,1, Jewish,Baccalaureate College,,1947,,Jenalyn,,,,
University of North Carolina at Wilmington,North Carolina,Wilmington,Public,0,0,none,Doctoral University,,1947,,AJB,,"13,733",,
Southern University Law Center - Baton Rouge,Louisiana,,Public,0,0,Baptist Christian,Baccalaureate College,,1947,,AJB,,,,
Fuller Theological Seminary,California,Pasadena,Private,0,1, interdenominational Evangelical Christian,Seminary,,1947,,Jenalyn,,,,
Bethel University,Indiana,Mishawaka,Private,0,1,Missionary Church,Baccalaureate College,,1947,,Jenalyn,,"1,963",,"HLC, NASM, TCATE, NLNAC"
Euphoria Institute of Beauty Arts & Sciences,Nevada,Las Vegas,Private,0,0,none,Baccalaureate College,,1947,,Jenalyn,,200,,
Denmark Technical College[c],South Carolina,Denmark,Public,0,0,none,Associates College,,1947,,AJB,,489,,SACS
Texas A&M University–Corpus Christi,Texas,,Public,0,0,none,Doctoral University,,1947,,AJB,,"10,169",,
Oregon Institute of Technology,Oregon,Klamath Falls,Public,0,0,none,Baccalaureate College,,1947,,AJB,,"3,372",,
University of Maryland Global Campus,Maryland,Adelphi,Public,0,0,none,Baccalaureate College,,1947,,AJB,,"58,868",,USM
"California State University, Los Angeles",California,Los Angeles,Public,0,0,none,Baccalaureate College,,1947,,AJB,,"27,685",,
"California State University, Sacramento",California,Sacramento,Public,0,0,none,Baccalaureate College,,1947,,AJB,,"31,131",,
University of Hawai‘i at Hilo,Hawaii,Hilo,Public,0,0,none,Doctoral University,,1947,,AJB,,"3,539",,
University of Minnesota Duluth,Minnesota,Duluth,Public,0,0,none,Masters University,,1947,,AJB,,"11,729",,"HLC, ASHA, NASM, NCATE"
Louisville Bible College,Kentucky,,Private,0,1,Christian,Seminary,,1948,,Jenalyn,,,,
Saint John Fisher College,New York,Rochester,Private,0,1,Catholic,Baccalaureate College,,1948,,Jenalyn,,"4,314",,
Mid-Atlantic Christian University,North Carolina,Elizabeth City,Private,0,1,Christian,Baccalaureate College,,1948,,Jenalyn,,218,,
Trinity Bible College,North Dakota,Ellendale,Private,0,1,Christian,Seminary,,1948,,Jenalyn,,285,,ABHE
Southwestern Christian College,Texas,,Private,0,1,Chistian,Specialized Focus,Liberal Arts,1948,,Jenalyn,,,1,
Southwestern Christian College,Texas,,Private,0,1,Christian,Specialized Focus,Liberal Arts,1948,,Jenalyn,,,,
Southeastern Baptist College - Laurel,Mississippi,,Private,0,1,Baptist,Baccalaureate College,,1948,,Jenalyn,,,,
Gwynedd Mercy University,Pennsylvania,Lower Gwynedd Township (Montgomery County),Private,0,1,Catholic,Baccalaureate College,,1948,,Jenalyn,,"2,619",,
Grand Rapids Theological Seminary,Michigan,Grand Rapids,Private,0,1,interdenominational evangelical Christian,Seminary,,1948,Merged into Cornerstone University,Jenalyn,,,,
Bethany Global University,Minnesota,Bloomington,Private,0,1,Evangelical Christian,Baccalaureate College,,1948,,Jenalyn,,135,,ABHE
Nicholls State University - Thibodaux,Louisiana,,Public,0,0,Catholic,Baccalaureate College,,1948,,AJB,,,,
Eastern Wyoming College,Wyoming,Torrington,Public,0,0,none,Associates College,,1948,,AJB,,"1,505",,
Sheridan College,Wyoming,Sheridan,Public,0,0,none,Associates College,,1948,,AJB,,"3,277",,
St. Cloud Technical and Community College,Minnesota,St. Cloud,Public,0,0,none,Associates College,,1948,,AJB,,"4,883",,"HLC, ADA"
Mid-Continent University,Kentucky,,Private,0,1,Southern Baptist Convention,Baccalaureate College,,1949,2014,Jenalyn,,,,
United Talmudical Seminary,New York,Brooklyn,Private,0,1,Jewish,Seminary,,1949,,Jenalyn,,"2,448",,
Donnelly College,Kansas,Kansas City,Private,0,1,Catholic,Baccalaureate College,,1949,,Jenalyn,,,,
University of San Diego,California,San Diego,Private,0,1,Catholic,Baccalaureate College,,1949,,Jenalyn,,,,
Great Lakes Christian College,Michigan,Lansing,Private,0,1,Christian,Seminary,,1949,,Jenalyn,,133,,"HLC, ABHE"
Grand Canyon University,Arizona,Phoenix,Private,0,1,Christian,Baccalaureate College,,1949,,Jenalyn,,"7,500",,
Central Oregon Community College,Oregon,Bend,Public,0,0,none,Associates College,,1949,,AJB,,"4,048",,
Lake Washington Institute of Technology,Washington,Kirkland,Public,0,0,none,Baccalaureate College,,1949,,AJB,,"3,660",,
Wallace Community College,Alabama,Dothan,Public,0,0,none,Associates College,,1949,,AJB,,"4,478",,SACS
"California State University, Long Beach",California,Long Beach,Public,0,0,none,Baccalaureate College,,1949,,AJB,,"36,846",,
Northland Community & Technical College,Minnesota,"Thief River Falls, East Grand Forks",Public,0,0,none,Associates College,,1949,,AJB,,"4,135",,"HLC, NLNAC"
Minnesota State College Southeast,Minnesota,"Winona, Red Wing",Public,0,0,none,Associates College,,1949,,AJB,,"2,626",,HLC
San Luis Rey College,California,Oceanside,Private,0,0,Catholic,Baccalaureate College,,1950,1968,Jenalyn,,,,
Bellarmine University,Kentucky,,Private,0,0,Catholic,Baccalaureate College,,1950,,Jenalyn,,,,
Beth Hatalmud Rabbinical College,New York,Brooklyn,Private,0,1,Orthodox Jewish,Seminary,,1950,,Jenalyn,,45,,
Kehilath Yakov Rabbinical Seminary,New York,Ossining,Private,0,1,Jewish,Seminary,,1950,,Jenalyn,,126,,
Southeastern Baptist Theological Seminary,North Carolina,Wake Forest,Private,0,1,Baptist,Seminary,,1950,,Jenalyn,,"2,638",,
Oklahoma Christian University,Oklahoma,Oklahoma City,Private,0,1,Church of Christ,Baccalaureate College,,1950,,Jenalyn,,"2,247",,
Byzantine Catholic Seminary of SS. Cyril and Methodius,Pennsylvania,Pittsburgh(Allegheny County),Private,0,1,Byzantine Catholic Metropolitan Church,Seminary,,1950,,Jenalyn,,14,,
Dallas Christian College,Texas,,Private,0,1,Chistian,Baccalaureate College,,1950,,Jenalyn,,,,
Marymount University,Virginia,Arlington,Private,0,1,Catholic,Baccalaureate College,,1950,,Jenalyn,,"3,418",,SACS
Appalachian Bible College,West Virginia,Mount Hope,Private,0,1,Baptist,Seminary,,1950,,Jenalyn,,302,,"ABHE, HLC"
Northeastern Bible College,New Jersey,Essex Fells,Private,0,1,Baptist,Seminary,,1950,1990,Jenalyn,,,,
Mercy College,New York,Dobbs Ferry,Private,0,1,Catholic,Seminary,,1950,,Jenalyn,,"14,787",,
California Baptist University,California,Riverside,Private,0,1,Christian,Baccalaureate College,,1950,,Jenalyn,,,,
Pacific Lutheran Theological Seminary,California,Berkeley,Private,0,1,"Evangelical Lutheran Church in America, California Lutheran University",Seminary,,1950,,Jenalyn,,,,
"Mississippi Valley State University, Mississippi Valley State",Mississippi,,Public,0,0,none,Baccalaureate College,,1950,,AJB,,,1,
Notre Dame College,New Hampshire,Manchester,Private,0,0,Catholic,Baccalaureate College,,1950,2002,Jenalyn,,,,
Lawson State Community College,Alabama,Birmingham,Public,0,0,none,Associates College,,1950,,AJB,,"3,375",,SACS
University of Mount Olive,North Carolina,Mount Olive,Private,0,1,Baptist,Baccalaureate College,,1951,,Jenalyn,,"3,208",,
Windham College,Vermont,Putney,Private,0,0,none,Baccalaureate College,,1951,1978,Jenalyn,,,,
Summit Christian College,Nebraska,Gering,Private,0,1,Christian,Seminary,,1951,,Jenalyn,,,,
Calumet College of St. Joseph,Indiana,Whiting,Private,0,1,Roman Catholic,Baccalaureate College,,1951,,Jenalyn,,"1,030",,"HLC, TCATE"
LaMennais College,Maine,Alfred,Private,0,0,none,Baccalaureate College,,1951,1959,Jenalyn,,,,
Silvermine College of Art,Connecticut,New Canaan,Private,0,0,none,Specialized Focus,Art,1951,1971,Jenalyn,,,,
Pierce College for Women,New Hampshire,Concord,Private,0,0,none,Baccalaureate College,,1951,1972,Jenalyn,,,,
Northwestern Michigan College,Michigan,Traverse City,Public,0,0,none,Associates College,,1951,,AJB,,"4,164",,"HLC, ADA"
Dominican College of Blauvelt,New York,Orangeburg,Private,0,1,Roman Catholic,Baccalaureate College,,1952,,Jenalyn,,"2,194",,
St. Thomas Aquinas College,New York,Sparkill,Private,0,1,Catholic,Baccalaureate College,,1952,,Jenalyn,,"2,211",,
Harding School of Theology,Tennessee,Memphis,Private,0,1,Christian,Seminary,,1952,,Jenalyn,,,,
Adler University,Illinois,Chicago,Private,0,0,none,Baccalaureate College,,1952,,Jenalyn,,"1,558",,
Alliant International University,California,San Diego,Private,0,0,none,Specialized Focus,Psychology & Law,1952,,Jenalyn,,,,
Alpena Community College,Michigan,Alpena,Public,0,0,none,Associates College,,1952,,AJB,,"1,536",,HLC
Assumption College for Sisters,New Jersey,Denville,Private,0,1,Roman Catholic,Associates College,,1953,,Jenalyn,,40,,"MSCHE, NJCHE"
Mid-America Christian University,Oklahoma,Oklahoma City,Private,0,1,Church of God,Baccalaureate College,,1953,,Jenalyn,,"1,249",,
Talmudical Yeshiva of Philadelphia,Pennsylvania,Philadelphia,Private,0,1,Haredi Judaism,Seminary,,1953,,Jenalyn,,110,,
Evangelical Seminary,Pennsylvania,Myerstown(Lebanon County),Private,0,1,Evangelical Congregational Church,Seminary,,1953,,Jenalyn,,153,,
Westwood College,Texas,,Private,1,0,none,Baccalaureate College,,1953,,Jenalyn,,,,
Bay Ridge Christian College,Texas,,Private,0,1,	Church of God,Baccalaureate College,,1953,,Jenalyn,,,1,
Pennsylvania Institute of Technology,Pennsylvania,Upper Providence Township (Delaware County),Private,0,0,none,Baccalaureate College,,1953,,Jenalyn,,915,,
Westwood College Of Technology[9],Virginia,Multiple[10],Private,1,0,none,Baccalaureate College,,1953,,Jenalyn,,1043,,ACICS
BridgeValley Community and Technical College–South Charleston,West Virginia,South Charleston,Public,0,0,Christian,Associates College,,1953,,AJB,,"1,578",,"ACEN, HLC"
Holy Family University,Pennsylvania,Philadelphia,Private,0,1, Catholic,Baccalaureate College,,1954,,Jenalyn,,"3,270",,
Wheeling University,West Virginia,Wheeling,Private,0,0, Catholic,Baccalaureate College,,1954,,Jenalyn,,"1,549",,"APTA, CCNE, HLC, TEAC"
LIU Post,New York,Brookville,Private,0,0,Catholic,Baccalaureate College,,1954,,Jenalyn,,"10,655",,
Holy Family University,Pennsylvania,Philadelphia,Private,0,1, Catholic,Baccalaureate College,,1954,,Jenalyn,,"3,270",,
St. Anthony College,New Hampshire,Hudson,Private,0,1,Catholic,Baccalaureate College,,1954,1979,Jenalyn,,,,
Mount Sacred Heart College,Connecticut,Hamden,Private,0,1,Catholic,Seminary,,1954,1997,Jenalyn,,,,
Coastal Carolina University,South Carolina,Conway,Public,0,0,none,Masters University,,1954,,AJB,,10641,,SACS
University of Virginia's College at Wise,Virginia,Wise,Public,0,0,none,Baccalaureate College,,1954,,AJB,,"2,065",,SACS
University of Medicine and Dentistry of New Jersey (UMDNJ),New Jersey,"New Brunswick, Newark, Camden, Stratford, Piscataway, and Scotch Plains",Public,0,0,none,Specialized Focus,Medicine,1954,2013,AJB,,,,
University of Alaska Anchorage,Alaska,Anchorage,Public,0,0,none,Doctoral University,,1954,,AJB,,"14,004",,
"University of California, Riverside",California,Riverside,Public,0,0,Southern Baptist Convention,Baccalaureate College,,1954,,AJB,,"23,278",,
United States Air Force Academy,Colorado,Colorado Springs,Public,0,0,none,Baccalaureate College,,1954,,AJB,,"4,336",,
Macomb Community College,Michigan,Warren,Public,0,0,Methodist,Associates College,,1954,,AJB,,"21,734",,"HLC, AOTA, JRCERT"
Covenant Life University,Florida,Fort Myers,Private,0,1,Christian,Baccalaureate College,,1955,,Jenalyn,,940,,
Seattle Bible College,Washington,Seattle[citation needed],Private,0,1,Christian,Seminary,,1955,,Jenalyn,,,,
Molloy College,New York,Rockville Centre,Private,0,1,Roman Catholic,Associates College,,1955,,Jenalyn,,"8,226",,
New York Institute of Technology,New York,Old Westbury,Private,0,0,none,Specialized Focus,Applied Scientific Research and Technology,1955,,Jenalyn,,"9,208",,
Harvey Mudd College,California,Claremont,Private,0,0,none,Baccalaureate College,,1955,,Jenalyn,,,,
Middlebury Institute of International Studies at Monterey,California,Monterey,Private,0,0,none,Baccalaureate College,,1955,,Jenalyn,,,,
Chaminade University of Honolulu,Hawaii,Honolulu,Private,0,1,Catholic,Baccalaureate College,,1955,,Jenalyn,,"1,099",,
Dordt University,Iowa,Sioux Center,Private,0,1,Christian Reformed Church,Baccalaureate College,,1955,,Jenalyn,,"1,407",,"HLC, CCNE"
Evangel University,Missouri,Springfield,Private,0,1,Christian ,Baccalaureate College,,1955,,Jenalyn,,"1,850",,
Columbia Basin College,Washington,Pasco,Public,0,0,none,Baccalaureate College,,1955,,AJB,,"11,368",,
University of the Southwest,New Mexico,Hobbs (Main),Private,0,1,Christian,Baccalaureate College,,1956,,Jenalyn,,951,,
Machzikei Hadath Rabbinical College,New York,Brooklyn,Private,0,1,none,Seminary,,1956,,Jenalyn,,148,,
Talmudical Seminary Oholei Torah,New York,Brooklyn,Private,0,1,none,Seminary,,1956,,Jenalyn,,343,,
National University of Natural Medicine,Oregon,Portland,Private,0,0,none,Specialized Focus,Medical,1956,,Jenalyn,,475,,
University of Dallas,Texas,,Private,0,0,Catholic,Baccalaureate College,,1956,,Jenalyn,,,,
North Carolina Wesleyan College,North Carolina,Rocky Mount,Private,0,1,Methodist,Specialized Focus,Liberal Arts,1956,,Jenalyn,,"2,035",,
Methodist University,North Carolina,Fayetteville,Private,0,1,Methodist,Specialized Focus,Liberal Arts,1956,,Jenalyn,,"2,092",,
Roger Williams University,Rhodes Island,Bristol,Private,0,0,none,Baccalaureate College,,1956,,Jenalyn,,"5,325[f]",,
College of St. Joseph,Vermont,Rutland,Private,0,1,Catholic,Masters University,,1956,2019,Jenalyn,,,,
Cascade College,Oregon,Portland,Private,0,1,Churches of Christ,Baccalaureate College,,1956,2009,Jenalyn,,,,
Judson Baptist College,Oregon,The Dalles,Private,0,1,evangelical Christian,Baccalaureate College,,1956,1985,Jenalyn,,,,
Holy Apostles College and Seminary,Connecticut,Cromwell,Private,0,1,Catholic,Seminary,,1956,,Jenalyn,,464,,
University of South Florida,Florida,Tampa,Public,0,0,Christian,Doctoral University,,1956,,AJB,,31000,,
Lebanon College,New Hampshire,Lebanon,Private,0,1,United Methodist Church,Associates College,,1956,2014,Jenalyn,,,,
Southern University at New Orleans - New Orleans,Louisiana,,Public,0,0,Baptist Christian,Baccalaureate College,,1956,,AJB,,,,
University of New Orleans - New Orleans,Louisiana,,Public,0,0,none,Baccalaureate College,,1956,,AJB,,,,
College of Staten Island CUNY,New York,Staten Island,Public,0,0,Roman Catholic,Baccalaureate College,,1956,,AJB,,"17,574",,
Tombrock College,New Jersey,,Public,0,1,Cathlic,Associates College,,1956,1976,AJB,,,,
Kellogg Community College,Michigan,Battle Creek,Public,0,0,none,Associates College,,1956,,AJB,,"4,815",,"HLC, ADA, APTA, JRCERT"
University of Michigan–Flint,Michigan,Flint,Public,0,0,none,Masters University,,1956,,AJB,,"8,044",,"HLC, APTA, CCNE, AANA, JRCERT, NASM"
Allegheny Wesleyan College,Ohio,Salem,Private,0,1,Other Protestant,Baccalaureate College,,1957,,Jenalyn,,,,
Hilbert College,New York,Hamburg,Private,0,1,Catholic Franciscan,Specialized Focus,Education,1957,,Jenalyn,,"1,671",,
American Commercial College,Texas,,Private,0,0,none,Baccalaureate College,,1957,2014,Jenalyn,,,,
Lubbock Christian University,Texas,,Private,0,1,Churches of Christ,Baccalaureate College,,1957,,Jenalyn,,,,
Cabrini University,Pennsylvania,Radnor Township(Delaware County),Private,0,1,Catholic,Specialized Focus,Liberal-Arts,1957,,Jenalyn,,"3,457",,
TESST College of Technology,Maryland,Beltsville,Private,1,0,none,Associates College,,1957,,,,N/A,,
Alaska Pacific University,Alaska,Anchorage,Private,0,1,Methodist,Specialized Focus,Liberal-Arts,1957,,Jenalyn,,502,,
Northwest Technical Institute,Minnesota,Eagan,Private,0,0,none,Baccalaureate College,,1957,,Jenalyn,,67,,ACCSC
Pillsbury Baptist Bible College,Minnesota,Owatonna,Private,0,1,Independent Baptist,Seminary,,1957,2008,Jenalyn,,,,
Missouri Baptist University,Missouri,St. Louis,Private,0,1, evangelical Christian,Specialized Focus,Liberal-Arts,1957,,Jenalyn,,"4,615",,
Stony Brook University,New York,Stony Brook,Public,0,0,none,Doctoral University,,1957,,AJB,,"26,733",,
Stony Brook University,New York,Stony Brook,Public,0,0,none,Doctoral University,,1957,,AJB,,"28,711",,
George Mason University,Virginia,Fairfax,Public,0,0,none,Doctoral University,,1957,,AJB,,"37,316",,SACS
Bronx Community College,New York,The Bronx,Public,0,0,Catholic,Associates College,,1957,,AJB,,"9,003",,
Williston State College,North Dakota,Williston,Public,0,0,none,Associates College,,1957,,AJB,,932,,Higher Learning Commission (HLC)
Bellingham Technical College,Washington,Bellingham,Public,0,0,none,Baccalaureate College,,1957,,AJB,,"2,301",,
"California State University, East Bay",California,Hayward,Public,0,0,Christian,Baccalaureate College,,1957,,AJB,,"14,525",,
"California State University, Fullerton",California,Fullerton,Public,0,0,Christian,Baccalaureate College,,1957,,AJB,,"39,774",,
